   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 978,          1434,             458,           1000,      4986,           0,       1998
 979,          1436,             459,              0,      4990,           0,       2509
 980,          1437,             459,           1003,      5023,           0,       1999
 981,          1441,             462,            999,      5023,           0,       2000
 982,          1442,             462,           1000,      5035,           0,       1998
 983,          1443,             462,              0,      5048,           0,       2008
 984,          1444,             462,            999,      5041,           0,       1999
 985,          1446,             463,           1000,      5045,           0,       2000
 986,          1447,             463,              0,      5058,           0,       2508
 987,          1448,             463,              0,      5058,           0,       2001
 988,          1449,             463,              0,      5072,           0,       1999
 989,          1450,             463,            999,      5076,           0,       2505
 990,          1451,             463,              0,      5084,           0,       1004
 991,          1452,             463,              0,      5078,           0,       1984
 992,          1453,             463,              0,      5102,           0,       1998
 993,          1455,             464,           1502,      5103,           0,       2009
 994,          1456,             464,            999,      5116,           0,       1999
 995,          1457,             464,           1000,      5123,           0,       2000
 996,          1458,             464,              0,      5131,           0,       1501
 997,          1459,             464,           1004,      5130,           0,       2003
 998,          1460,             464,           1001,      5136,           0,       2000
 999,          1463,             466,            998,      5146,           0,       1000
1000,          1465,             467,              0,      5150,           0,       2009
