   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time,,,,,,,,,,<RANDOM,,,,,,,,,,,,   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
135,4942,4811,3003,790,0,0,,,,,,,,,,,,,,,,,,,,,,135,198,65,0,494,0,0
136,5034,4902,3000,797,0,999,,,,,,,,,,,,,,,,,,,,,,136,199,65,0,500,0,999
137,5153,5020,2508,807,0,0,,,,,,,,,,,,,,,,,,,,,,137,200,65,0,503,0,0
138,5229,5095,3002,814,0,999,,,,,,,,,,,,,,,,,,,,,,138,201,65,0,505,0,0
139,5242,5107,3000,818,0,0,,,,,,,,,,,,,,,,,,,,,,139,202,65,0,512,0,0
140,5270,5134,3507,824,0,0,,,,,,,,,,,,,,,,,,,,,,140,203,65,0,510,0,0
141,5352,5215,3004,833,0,0,,,,,,,,,,,,,,,,,,,,,,141,204,65,0,514,0,0
142,5368,5230,3503,838,0,0,,,,,,,,,,,,,,,,,,,,,,142,205,65,1000,517,0,0
143,5493,5354,3509,849,0,0,,,,,,,,,,,,,,,,,,,,,,143,208,67,0,523,0,0
144,5603,5463,4003,861,0,0,,,,,,,,,,,,,,,,,,,,,,144,209,67,0,535,0,999
145,5657,5516,2998,866,0,0,,,,,,,,,,,,,,,,,,,,,,145,210,67,0,536,0,0
146,5758,5616,3511,876,0,1000,,,,,,,,,,,,,,,,,,,,,,146,212,68,0,535,0,0
147,5882,5739,3000,882,0,998,,,,,,,,,,,,,,,,,,,,,,147,213,68,0,539,0,999
148,5954,5810,3504,885,0,0,,,,,,,,,,,,,,,,,,,,,,148,214,68,0,547,0,0
149,6050,5905,4007,893,0,0,,,,,,,,,,,,,,,,,,,,,,149,215,68,0,552,0,0
150,6188,6042,2999,894,0,1001,,,,,,,,,,,,,,,,,,,,,,150,217,69,0,554,0,0
151,6262,6115,3510,901,0,0,,,,,,,,,,,,,,,,,,,,,,151,219,70,0,555,0,0
152,6283,6135,4001,911,0,0,,,,,,,,,,,,,,,,,,,,,,152,220,70,0,559,0,999
